Title,Keyword Match,Description,Published Date,Video ID,Video URL,Comment Count
Donald Trump blames President Obama for the creation of ISIS,president,Trump called Obama 'the Founder of ISIS' during speech.,2016-08-11T11:00:09Z,jHcrMnF0L2s,https://www.youtube.com/watch?v=jHcrMnF0L2s,387
"Trump calls Obama &#39;worst president&#39;, after &#39;unfit to serve&#39; slam",president,Strategy Room: Douglas Smith and Charmaine Yoest weigh in on Donald Trump's insult towards President Obama and how it ...,2016-08-03T18:03:11Z,w2-JbB_rDos,https://www.youtube.com/watch?v=w2-JbB_rDos,421
Donald Trump responds to President Obama&#39;s criticism,president,Republican presidential nominee weighs in on his blunt remarks and campaign strategy on 'The O'Reilly Factor',2016-08-03T01:03:21Z,_y8sMVd37cc,https://www.youtube.com/watch?v=_y8sMVd37cc,12414
Trump: If I were president Khan&#39;s son wouldn&#39;t have died,president,"On 'Hannity,' the Republican nominee clarifies his comments about the Khan family and opposition to the Iraq War.",2016-08-02T03:02:25Z,tY3dF3Guf3w,https://www.youtube.com/watch?v=tY3dF3Guf3w,933
Donald Trump: The election in November will be rigged,election,"On 'Hannity,' the Republican nominee slams Hillary Clinton for lying, makes appeal for Bernie Sanders voters.",2016-08-02T03:03:43Z,RU3z7iFIalY,https://www.youtube.com/watch?v=RU3z7iFIalY,2725
President Obama and Islam,president,'The O'Reilly Factor': Bill O'Reilly's Talking Points 7/6.,2016-07-07T01:28:12Z,EgFp9n1FTEk,https://www.youtube.com/watch?v=EgFp9n1FTEk,448
Donald Trump: Hillary Clinton would be a terrible president,president,"On 'The Real Story,' the presumptive GOP nominee responds to jabs from Clinton and Obama, slams FBI decision as 'rigged' and ...",2016-07-06T20:28:36Z,tW0JlWVWJMc,https://www.youtube.com/watch?v=tW0JlWVWJMc,402
Trump: Texas would never secede from US if I were president,president,"Trump answers questions on Brexit, renewed talk of Texas secession push in US.",2016-06-25T19:56:07Z,89-IyeDg3C4,https://www.youtube.com/watch?v=89-IyeDg3C4,344
Donald Trump sounds off on President Obama and ISIS,president,Presumptive Republican nominee joins 'The O'Reilly Factor' to react to the terror attack in Orlando.,2016-06-14T01:44:06Z,X_Zhy6cFecI,https://www.youtube.com/watch?v=X_Zhy6cFecI,648
"Gary Johnson on immigration, domestic and foreign policy",policy,Libertarian Party presidential nominee answers questions from the 'Special Report' All-Star panel.,2016-06-07T00:16:14Z,iXdrC8nhIgo,https://www.youtube.com/watch?v=iXdrC8nhIgo,637
Ben Carson reacts to President Obama&#39;s bashing of Trump,president,Former GOP candidate goes on 'Hannity' after the Democrats continue to attack the candidate in their speeches.,2016-06-03T04:15:19Z,0as12IxdZ9I,https://www.youtube.com/watch?v=0as12IxdZ9I,2453
Newt Gingrich makes general election predictions,election,"On 'Justice,' former House speaker explains why the 2016 race for the White House will make history.",2016-05-29T15:15:58Z,jTg63JIITB0,https://www.youtube.com/watch?v=jTg63JIITB0,692
Fit to be president? O&#39;Reilly debates Krauthammer,president,'The O'Reilly Factor' examines what's next for the Republican Party after the Hoosier State primary.,2016-05-04T02:00:54Z,0JLzzQHqeeo,https://www.youtube.com/watch?v=0JLzzQHqeeo,593
Watters&#39; World: Government giveaway edition,government,Jesse Watters asks the folks what they would like the government to give them for free on 'The O'Reilly Factor',2016-04-26T01:38:30Z,smI3FaGHW6w,https://www.youtube.com/watch?v=smI3FaGHW6w,447
"Gutfeld: President Bernie Sanders? Are you drunk, America?",president,Running the free world? He could barely run a One Direction fan club.,2016-04-17T17:34:59Z,AsODg8vLFRc,https://www.youtube.com/watch?v=AsODg8vLFRc,412
Former president of Mexico: Walls don&#39;t work,president,Vicente Fox reacts to Donald Trump's immigration plan on 'Hannity',2016-03-03T04:29:07Z,uyHJ34fg-F4,https://www.youtube.com/watch?v=uyHJ34fg-F4,326
Gov. Chris Christie endorses Donald Trump for president,president,New Jersey governor says the best person to beat Hillary Clinton is Donald Trump.,2016-02-26T18:33:12Z,8k3EZGUECwo,https://www.youtube.com/watch?v=8k3EZGUECwo,358
Shkreli: It&#39;s unethical to drag me in front of Congress to plead the 5th,congress,Former Turing Pharmaceuticals CEO Martin Shkreli argues security fraud charges against him are unfair and he will plead the 5th ...,2016-02-02T16:33:14Z,GdNRs-xzfQc,https://www.youtube.com/watch?v=GdNRs-xzfQc,1561
Sarah Palin endorses Donald Trump for president,president,Former Republican vice presidential nominee explains her stance.,2016-01-20T02:57:44Z,bFSRr7rC4p0,https://www.youtube.com/watch?v=bFSRr7rC4p0,2122
